NodeID,NodeType,edgeOrder,Country
477769,1,25,
572500,1,5,5
500192,1,8,5
480268,1,3,5
516694,1,12,5
615605,1,17,5
480375,1,10,5
476124,1,9,5
638752,1,36,5
545850,1,14,
463126,1,15,
594766,1,32,3
561312,1,30,
546999,1,6,3
645393,1,21,3
634283,1,40,
598220,1,46,
479204,1,4,
655636,1,29,0
636990,1,23,0
581406,1,22,0
558277,1,13,
551810,1,7,4
593266,1,16,5
584811,1,45,
568093,1,37,0
629627,1,35,4
599441,1,24,4
508913,1,31,4
595539,1,11,4
463884,1,1,
457699,1,33,2
583251,1,44,
482973,1,41,
460534,1,38,4
597992,1,18,4
652002,1,20,
612378,1,43,
494556,1,42,
494508,1,34,2
648781,1,47,
600329,1,26,
497185,1,28,
566386,1,0,3
559042,1,2,3
459811,1,19,
536715,1,27,
534237,1,39,3
463038,1,48,
