Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Status
453729,457397,1,634303,1764927360,1.0,4,5,5.26273,-167.85299999999998,19.1053,156.866,supplementary
660072,457699,0,652002,1752551686,1.0,-1,-1,,,,,supplementary
660554,457699,1,599441,1751516781,1.0,2,4,-22.9565,90.5714,2.74785,-162.275,supplementary
1867881,459691,1,646838,1738643048,1.0,4,3,3.2257700000000002,-166.653,-25.0219,-111.07,supplementary
1868109,459691,0,634303,1736906434,1.0,-1,-1,,,,,supplementary
1868323,459691,1,551810,1741219203,1.0,4,4,3.2257700000000002,-166.653,-1.6907400000000001,-162.996,supplementary
2798189,461245,1,459691,1762306598,1.0,3,4,-24.2402,-110.71799999999999,3.2257700000000002,-166.653,supplementary
3950525,476124,1,568093,1765507699,1.0,5,0,18.6537,150.799,28.3004,-47.4036,supplementary
5065269,477769,0,457699,1757418338,1.0,-1,-1,,,,,supplementary
5065551,477769,1,457397,1757068045,1.0,5,4,22.7492,154.089,5.26273,-167.85299999999998,supplementary
5961369,479204,0,599441,1766071102,1.0,-1,-1,,,,,supplementary
5962138,479204,0,480375,1744334168,1.0,-1,-1,,,,,supplementary
6653834,480268,1,581406,1763867929,1.0,5,0,21.5557,155.289,30.7566,-39.3742,supplementary
6654038,480268,1,494508,1748488149,1.0,5,2,21.5557,155.289,-22.5174,90.2463,supplementary
6718531,480375,0,634283,1739430777,1.0,-1,-1,,,,,supplementary
6719165,480375,1,463126,1759882577,1.0,5,3,22.7442,157.989,-25.3485,-111.419,supplementary
6720545,480375,1,494508,1763770107,1.0,5,2,22.7442,157.989,-22.5174,90.2463,supplementary
15410294,494508,1,558277,1743784084,1.0,2,4,-22.5174,90.2463,0.408001,-168.24200000000002,supplementary
15410854,494508,0,645393,1757521670,1.0,-1,-1,,,,,supplementary
15412810,494508,1,568093,1760265034,1.0,2,0,-22.5174,90.2463,28.3004,-47.4036,supplementary
15414856,494508,1,645393,1750529000,1.0,2,3,-22.5174,90.2463,-25.0584,-110.84,supplementary
15416756,494508,1,568093,1760260982,1.0,2,0,-22.5174,90.2463,28.3004,-47.4036,supplementary
15417758,494508,0,457699,1764138052,1.0,-1,-1,,,,,supplementary
15418701,494508,0,568093,1752454497,1.0,-1,-1,,,,,supplementary
15420105,494508,0,634283,1737880076,1.0,-1,-1,,,,,supplementary
15421511,494508,1,645393,1750427177,1.0,2,3,-22.5174,90.2463,-25.0584,-110.84,supplementary
19474084,500192,0,494508,1746497896,1.0,-1,-1,,,,,supplementary
19474975,500192,0,634283,1743418008,1.0,-1,-1,,,,,supplementary
19475756,500192,1,634283,1761442684,1.0,5,3,17.9672,160.224,-25.1589,-111.022,supplementary
30080643,463126,0,546999,1743488265,1.0,-1,-1,,,,,supplementary
30433649,516694,1,634283,1741754159,1.0,5,3,20.9029,154.839,-25.1589,-111.022,supplementary
30433936,516694,1,598220,1736501074,1.0,5,3,20.9029,154.839,-24.2846,-110.75399999999999,supplementary
50875826,546999,1,536715,1737858873,1.0,3,5,-23.788,-110.90700000000001,20.9961,155.52700000000002,supplementary
51283594,547661,0,508951,1751590572,1.0,-1,-1,,,,,supplementary
53711119,551810,0,497185,1755216012,1.0,-1,-1,,,,,supplementary
60418510,558277,1,457397,1747618979,1.0,4,4,0.408001,-168.24200000000002,5.26273,-167.85299999999998,supplementary
60869446,559042,1,494556,1754355612,1.0,3,2,-24.3194,-111.447,-20.516,88.0396,supplementary
60869731,559042,1,494508,1745233256,1.0,3,2,-24.3194,-111.447,-22.5174,90.2463,supplementary
60869984,559042,1,479204,1743296077,1.0,3,0,-24.3194,-111.447,39.3313,-40.6437,supplementary
62212111,561312,0,581406,1766548838,1.0,-1,-1,,,,,supplementary
65334779,566386,0,546999,1736934875,1.0,-1,-1,,,,,supplementary
65335307,566386,1,480375,1747383984,1.0,3,5,-24.5053,-111.53200000000001,22.7442,157.989,supplementary
65335493,566386,1,559042,1747353643,1.0,3,3,-24.5053,-111.53200000000001,-24.3194,-111.447,supplementary
66412947,568093,0,652002,1738721089,1.0,-1,-1,,,,,supplementary
66413516,568093,0,561312,1753747508,1.0,-1,-1,,,,,supplementary
66415361,568093,1,568093,1762136848,1.0,0,0,28.3004,-47.4036,28.3004,-47.4036,supplementary
66415612,568093,1,645393,1747716427,1.0,0,3,28.3004,-47.4036,-25.0584,-110.84,supplementary
66417603,568093,0,612378,1759539977,1.0,-1,-1,,,,,supplementary
66417761,568093,1,645393,1757727548,1.0,0,3,28.3004,-47.4036,-25.0584,-110.84,supplementary
66417771,568093,0,561312,1745779283,1.0,-1,-1,,,,,supplementary
82605156,593266,1,561312,1748269657,1.0,5,3,23.715999999999998,158.593,-24.7653,-110.96600000000001,supplementary
83494448,594766,1,559042,1736324047,1.0,3,3,-25.679000000000002,-110.916,-24.3194,-111.447,supplementary
86173076,597992,1,652002,1755228553,1.0,4,4,2.44089,-160.922,-0.780787,-169.236,supplementary
87106501,599441,1,494508,1756907600,1.0,4,2,2.74785,-162.275,-22.5174,90.2463,supplementary
87107144,599441,1,545850,1748082556,1.0,4,5,2.74785,-162.275,19.588,153.83100000000002,supplementary
87109392,599441,0,629627,1738843253,1.0,-1,-1,,,,,supplementary
87675948,600329,1,457397,1738377654,1.0,0,4,30.2972,-34.2851,5.26273,-167.85299999999998,supplementary
105975119,629627,0,599441,1740509251,1.0,-1,-1,,,,,supplementary
105975135,629627,0,599441,1739270612,1.0,-1,-1,,,,,supplementary
105975746,629627,0,599441,1745379406,1.0,-1,-1,,,,,supplementary
108813696,634303,1,547661,1760314824,1.0,5,2,19.1053,156.866,-20.6298,90.1808,supplementary
108813733,634303,1,561312,1756026039,1.0,5,3,19.1053,156.866,-24.7653,-110.96600000000001,supplementary
108813938,634303,1,568093,1738996777,1.0,5,0,19.1053,156.866,28.3004,-47.4036,supplementary
110533004,636990,0,568093,1741143722,1.0,-1,-1,,,,,supplementary
111565702,638752,0,645393,1742951720,1.0,-1,-1,,,,,supplementary
116491087,645393,0,600329,1757588408,1.0,-1,-1,,,,,supplementary
116491701,645393,0,494556,1744851655,1.0,-1,-1,,,,,supplementary
116492325,645393,1,566386,1746082610,1.0,3,3,-25.0584,-110.84,-24.5053,-111.53200000000001,supplementary
117299554,646838,1,459691,1751555887,1.0,3,4,-25.0219,-111.07,3.2257700000000002,-166.653,supplementary
122645934,655636,1,494508,1757489287,1.0,0,2,36.4502,-37.8151,-22.5174,90.2463,supplementary
122646314,655636,1,480375,1764345274,1.0,0,5,36.4502,-37.8151,22.7442,157.989,supplementary
122646764,655636,0,480375,1744335366,1.0,-1,-1,,,,,supplementary
