templateID,candidateID,Financial profile,Travel profile,Graphlet profile,Temporal profile,templateEdgeOrder,candidateEdgeOrder
0,584811,0.9945675287269031,,0.76190477,0.9037501963427151,3,21
2,619270,0.9414740417906711,,0.0,,17,11
27,572500,0.9941564229965284,,0.7142857499999999,1.0,14,26
29,500192,0.9885868853808615,,0.0,,18,15
31,480268,0.9903520079450967,,0.0,,19,7
33,516694,0.9862459692826032,,0.0,,20,36
34,615605,0.9918249009448268,,0.6428571649999999,0.9869020607331437,4,3
35,480375,0.9941364508029968,,0.0,,21,8
36,556718,0.9555264437908144,,0.0,,22,46
37,638752,0.9929408547274875,,0.6666667,0.9814767166496726,7,32
38,585395,0.978962554239166,,0.0,,23,10
39,570284,0.9947769512759447,1.0,0.33333335,0.8480977822622541,2,12
40,643925,0.9975394626145218,0.3636363636363637,0.6666667,0.8055055248215629,13,28
41,649553,0.9960620856879977,0.6666666666666666,0.54761907,0.8441950711790113,8,35
42,463126,0.992891082439161,,0.0,,24,33
43,482973,0.9951013078405571,,0.0,0.8888602998980359,5,0
44,536715,0.9669634980981636,,0.0,,25,31
45,594766,0.9979328462667425,,0.809523835,1.0,6,22
46,561312,0.9928711026233394,,0.0,,26,20
47,546999,0.9965649965450715,,0.8809523850000001,0.8931895376517633,10,25
48,645393,0.9916473403349153,,0.0,,27,39
49,634283,0.9955222994118068,,0.0,,28,38
52,598220,0.9928538978602439,,0.0,,29,44
53,479204,0.9927895552882757,,0.0,,30,2
54,600329,0.9633405925950118,,0.0,,31,6
55,655636,0.996614645514752,,0.0,,32,19
56,636990,0.9929724528437166,,0.33333335,0.917161358524356,9,18
57,581406,0.9939319773392389,,0.50000002,0.9692826096207635,12,30
58,461719,0.9990045352237003,,0.809523835,0.9050964137426383,1,37
59,476973,0.9978030798327806,,0.0,,33,5
60,614986,0.9989481375758208,,0.0,,34,17
61,508913,0.9971744749973483,,0.0,,35,16
62,491352,0.9938829095382546,,0.0,,36,27
63,551810,0.9883308938166028,,0.61904764,0.9907383583248364,0,13
64,497185,0.9839616256015962,,0.0,,37,24
65,593266,0.9934277786108126,,0.6904762149999999,0.9399777018616965,11,34
73,456760,,0.0,0.0,0.9156224286845867,38,43
74,456761,,0.0,0.0,0.8480977822622541,39,42
75,456765,,,0.0,,40,40
77,456769,,,0.0,,41,29
78,456772,,,0.0,,42,1
79,456774,,0.2,0.0,,43,9
80,456779,,0.1111111111111111,0.0,,44,4
82,456780,,,0.0,,45,45
83,456788,,0.125,0.0,,46,14
84,456762,,,0.0,,47,41
85,456794,,0.2222222222222222,0.0,,48,23
86,456797,,0.0,0.0,,49,47
87,456798,,,0.0,,50,48
