NodeID,NodeType,edgeOrder,Country
572500,1,8,5
500192,1,1,5
480268,1,15,5
516694,1,36,5
615605,1,25,5
480375,1,6,5
638752,1,17,5
570284,1,34,
643925,1,21,5
649553,1,27,5
463126,1,28,
594766,1,18,3
561312,1,29,
546999,1,24,3
645393,1,31,
634283,1,35,
598220,1,41,
479204,1,37,
655636,1,39,0
636990,1,0,0
581406,1,9,0
551810,1,14,4
617074,1,42,
593266,1,22,5
584811,1,33,
594281,1,26,4
456780,1,46,
456772,1,40,0
456797,1,47,
491352,1,23,4
456760,1,44,
482973,1,4,4
456788,1,19,2
592525,1,7,
456779,1,12,1
456794,1,45,
456759,1,43,
456765,1,3,3
600329,1,16,
456774,1,5,4
456798,1,13,
553149,1,48,
556718,1,30,
476973,1,11,
619270,1,20,3
536715,1,32,
456762,1,10,
597391,1,38,
456769,1,2,
